毵 毿
牦 氂
氇 氌
毡 氈
毡 氊
氇 氌
气 氣
氢 氫
气 氣
氩 氬
氢 氫
氩 氬
氲 氳
氲 氳
凼 氹
泛 氾
汇 匯
汉 漢
泛 汎
污 汙
污 汚
污 汙
汤 湯
汹 洶
决 決
冱 沍
没 沒
沓 遝
冲 沖
沟 溝
没 沒
沣 灃
沤 漚
沥 瀝
沦 淪
沧 滄
沨 渢
沩 溈
沪 滬
沵 濔
况 況
泞 濘
泪 淚
泶 澩
泷 瀧
泸 瀘
泺 濼
泻 瀉
泼 潑
泽 澤
泾 涇
洁 潔
洒 灑
泄 洩
汹 洶
洼 窪
浃 浹
浅 淺
浆 漿
浇 澆
浈 湞
浉 溮
浊 濁
测 測
浍 澮
济 濟
浏 瀏
浐 滻
浑 渾
浒 滸
浓 濃
浔 潯
浕 濜
浃 浹
涂 塗
泾 涇
涌 湧
莅 涖
涛 濤
涝 澇
涞 淶
涟 漣
涠 潿
涡 渦
涢 溳
涣 渙
涤 滌
润 潤
涧 澗
涨 漲
涩 澀
凉 涼
淀 澱
凄 淒
泪 淚
渌 淥
净 淨
凌 淩
沦 淪
渊 淵
涞 淶
浅 淺
渊 淵
渌 淥
渍 漬
渎 瀆
渐 漸
渑 澠
渔 漁
渖 瀋
渗 滲
涣 渙
减 減
沨 渢
涡 渦
温 溫
测 測
游 遊
浑 渾
凑 湊
浈 湞
愍 湣
涌 湧
汤 湯
湾 灣
湿 濕
溃 潰
溅 濺
溆 漵
溇 漊
沩 溈
准 準
沟 溝
温 溫
浉 溮
涢 溳
湿 溼
沧 滄
灭 滅
涤 滌
荥 滎
滗 潷
汇 滙
滚 滾
滞 滯
滟 灩
滠 灄
满 滿
滢 瀅
滤 濾
滥 濫
滦 灤
滨 濱
滩 灘
滪 澦
沪 滬
滞 滯
渗 滲
卤 滷
浒 滸
浐 滻
滚 滾
满 滿
渔 漁
溇 漊
沤 漚
汉 漢
涟 漣
漤 濫
渍 漬
涨 漲
溆 漵
渐 漸
浆 漿
颍 潁
潆 瀠
潇 瀟
潋 瀲
潍 濰
泼 潑
洁 潔
沩 潙
潜 潛
潜 潛
舄 潟
润 潤
浔 潯
溃 潰
潴 瀦
滗 潷
涠 潿
涩 澀
涩 澁
澄 澂
浇 澆
涝 澇
涧 澗
澜 瀾
渑 澠
泽 澤
滪 澦
泶 澩
浍 澮
淀 澱
浊 濁
浓 濃
濑 瀨
濒 瀕
沵 濔
湿 濕
泞 濘
蒙 濛
浕 濜
济 濟
涛 濤
滥 濫
浚 濬
潍 濰
滨 濱
阔 濶
溅 濺
泺 濼
滤 濾
滢 瀅
渎 瀆
泻 瀉
渖 瀋
浏 瀏
濒 瀕
泸 瀘
沥 瀝
潇 瀟
潆 瀠
潴 瀦
泷 瀧
濑 瀨
弥 瀰
潋 瀲
澜 瀾
沣 灃
滠 灄
灏 灝
洒 灑
漓 灕
滩 灘
灏 灝
湾 灣
滦 灤
滟 灧
滟 灩
灭 滅
灯 燈
灵 靈
灾 災
灾 災
灿 燦
炀 煬
炉 爐
炖 燉
炜 煒
炝 熗
照 炤
点 點
为 為
炼 煉
炽 熾
烁 爍
烂 爛
烃 烴
乌 烏
烛 燭
烟 煙
烦 煩
烧 燒
烨 燁
烩 燴
烫 燙
烬 燼
热 熱
烃 烴
焕 煥
焖 燜
焘 燾
无 無
煅 煆
煅 煆
辉 煇
炼 煉
炜 煒
暖 煖
烟 煙
茕 煢
焕 煥
烦 煩
炀 煬
荧 熒
炝 熗
熘 溜
热 熱
颎 熲
炽 熾
烨 燁
焰 燄
灯 燈
炖 燉
磷 燐
烧 燒
烫 燙
焖 燜
营 營
灿 燦
毁 燬
烛 燭
烩 燴
熏 燻
烬 燼
焘 燾
耀 燿
烁 爍
炉 爐
烨 爗
烂 爛
争 爭
爱 愛
为 爲
爷 爺
爷 爺
尔 爾
丬 爿
床 牀
墙 牆
笺 牋
牍 牘
闸 牐
牍 牘
牦 犛
抵 牴
牵 牽
牺 犧
牵 牽
犊 犢
荦 犖
牦 犛
犊 犢
牺 犧
犭 犬
状 狀
犷 獷
犸 獁
犹 猶
状 狀
狈 狽
狍 麅
狝 獮
狞 獰
独 獨
狭 狹
狮 獅
狯 獪
狰 猙
狱 獄
狲 猻
狭 狹
狈 狽
猃 獫
猎 獵
猕 獼
狰 猙
猡 玀
猪 豬
猫 貓
猬 蝟
献 獻
犹 猶
狲 猻
犸 獁
呆 獃
狱 獄
狮 獅
奖 獎
独 獨
狯 獪
猃 獫
獭 獺
狝 獮
狞 獰
获 獲
猎 獵
犷 獷
兽 獸
獭 獺
献 獻
猕 獼
猡 玀
兹 玆
玑 璣
玙 璵
玚 瑒
玛 瑪
珏 玨
玮 瑋
环 環
现 現
玱 瑲
玺 璽
珉 瑉
珏 玨
珐 琺
珑 瓏
佩 珮
珰 璫
珲 琿
现 現
璃 琍
琎 璡
琏 璉
琐 瑣
管 琯
珐 琺
琼 瓊
珲 琿
珉 瑉
玮 瑋
玚 瑒
琐 瑣
瑶 瑤
莹 瑩
玛 瑪
琅 瑯
玱 瑲
瑶 瑤
瑷 璦
璇 璿
琏 璉
璎 瓔
琎 璡
玑 璣
瑷 璦
珰 璫
环 環
玙 璵
玺 璽
璇 璿
琼 瓊
珑 瓏
瓒 瓚
璎 瓔
瓒 瓚
瓮 甕
瓯 甌
瓯 甌
砖 甎
瓮 甕
罂 甖
产 產
产 産
苏 甦
宁 甯
电 電
